Date,Ticker,Signal,Units,Price,Cost,Remaining,Revenue
2021-09-23,EURUSD=X,BUY,85474,1.168770432472229,99999.38342907642,0.6165709235792747,
2021-10-29,EURUSD=X,SELL,85474,1.1683608293533323,,99765.22562554217,99764.60905461859
2021-11-11,EURUSD=X,BUY,86771,1.148593544960022,99764.27510021577,0.9505253263923805,
2022-01-13,EURUSD=X,SELL,86771,1.144164800643921,,99181.99411808338,99181.04359275699
2022-01-28,EURUSD=X,BUY,88887,1.1147029399871826,99181.68282686733,0.31129121605772525,
2022-03-31,EURUSD=X,SELL,88887,1.116183519363403,,99115.30157238521,99114.99028116916
2022-04-28,EURUSD=X,BUY,93809,1.0555092096328735,99115.27970989667,0.021862488545593806,
2022-05-24,EURUSD=X,SELL,93809,1.0682048797607422,,100107.04619639853,100107.02433390998
2022-06-14,EURUSD=X,BUY,96020,1.0415147542953491,100106.25295414685,0.7932422516751103,
2022-08-12,EURUSD=X,SELL,96020,1.0316723585128784,,98962.91192679385,98962.11868454218
2022-08-19,EURUSD=X,BUY,97983,1.0089900493621826,98962.73587866138,0.1760481324745342,
2022-10-27,EURUSD=X,SELL,97983,1.009193778038025,,98785.12616767877,98784.9501195463
2023-05-15,EURUSD=X,BUY,90932,1.0852696895599363,98784.42915447519,0.6970132035785355,
2023-06-15,EURUSD=X,SELL,90932,1.084304690361023,,98500.0931230082,98499.39610980463
2023-08-25,EURUSD=X,BUY,91119,1.07991361618042,98499.04944153642,1.0436814717832021,
2023-10-24,EURUSD=X,SELL,91119,1.0669853687286377,,97126.46085484333,97125.41717337155
2024-02-06,EURUSD=X,BUY,90328,1.0741831064224243,97125.84044856166,0.6204062816686928,
2024-03-08,EURUSD=X,SELL,90328,1.0950144529342651,,98812.17544542333,98811.55503914166
2024-04-02,EURUSD=X,BUY,91935,1.0737217664718628,98811.32321119128,0.8522342320502503,
2024-05-16,EURUSD=X,SELL,91935,1.0889805555343628,,100016.16417991064,100015.3119456786
2024-06-11,EURUSD=X,BUY,92822,1.0764262676239014,100015.95505239915,0.20912751149444375,
2024-07-08,EURUSD=X,SELL,92822,1.082602620124817,,100389.06019233202,100388.85106482053
2024-11-07,EURUSD=X,BUY,93439,1.073306918144226,100389.01384960281,0.04634272921248339,
2025-03-05,EURUSD=X,SELL,93439,1.062699317932129,,99198.31034942114,99198.26400669193
2025-05-13,EURUSD=X,BUY,89314,1.1095577478408811,99198.13973135111,0.17061807002755813,
2025-06-13,EURUSD=X,SELL,89314,1.1600254774093628,,103503.07959192051,103502.90897385048
2025-07-30,EURUSD=X,BUY,89516,1.1550945043563845,103502.83909161807,0.2405003024468897,
2025-09-09,EURUSD=X,SELL,89516,1.1769136190414429,,105247.48742289413,105247.24692259169
